id,average_intensity
1,15.547236
1,15.942393
1,15.885363
1,15.652797
1,15.839633
1,15.772687
1,15.73741
1,16.0575
1,15.835952
1,16.069906
1,16.127943
1,15.961126
1,16.073816
1,16.039928
1,15.998715
1,15.960737
1,16.086449
1,16.213686
1,16.319239
1,15.882052
1,16.015047
1,16.187033
1,15.8738575
1,15.924105
1,16.135672
1,16.017948
1,16.00785
1,15.83959
1,15.960829
1,15.822237
1,15.759821
1,15.809422
1,15.736763
1,15.642482
1,15.85416
1,15.86326
1,16.033802
1,16.189007
1,15.894289
1,15.956288
1,15.876941
1,15.918861
1,16.05807
1,16.023827
1,15.958977
1,16.033712
1,15.969329
1,16.061218
1,15.950346
1,16.148401
1,16.025665
1,16.170284
2,16.42625
2,16.422256
2,16.443096
2,16.426878
2,16.029661
2,16.254278
2,16.261093
2,15.9721155
2,16.016882
2,15.930069
2,16.399757
2,16.326366
2,16.24599
2,16.333632
2,16.549
2,16.202414
2,16.126219
2,15.977597
2,15.951341
2,15.81872
2,15.835792
2,15.830729
2,15.8773365
2,15.785992
2,15.692406
2,15.807487
2,15.942056
2,15.907521
2,15.823981
2,15.845312
2,15.76779
2,15.655595
2,16.216791
2,16.050419
2,16.088844
2,16.090553
2,15.984885
2,15.802219
2,15.921364
2,15.816612
2,15.624192
2,15.659524
2,15.999366
2,15.614722
2,15.906276
2,15.897624
2,15.7299185
2,15.635464
2,15.700342
2,15.454024
2,15.76065
2,15.909417
3,15.86121
3,16.064001
3,15.972305
3,15.836091
3,15.766626
3,15.664765
3,15.842411
3,15.969956
3,15.864531
3,16.239923
3,16.215239
3,16.174826
3,16.127832
3,15.989929
3,15.49111
3,15.456322
3,15.474253
3,15.615122
3,15.640712
3,15.611939
3,15.821838
3,16.09271
3,16.113743
3,16.176582
3,16.073175
3,15.977099
3,16.112427
3,16.13101
3,15.942442
3,15.914596
3,16.033438
3,16.105917
3,16.010067
3,16.16523
3,16.126587
3,15.966352
3,16.194479
3,16.333584
3,16.747375
3,16.437769
3,16.453932
3,16.592985
3,16.619486
3,16.54398
3,16.591536
3,16.483175
3,16.451914
3,16.335024
3,16.392307
3,16.421057
3,16.481781
3,16.599173
4,15.7996
4,15.751958
4,15.672817
4,15.678746
4,15.692996
4,15.642142
4,15.567219
4,15.627594
4,15.581538
4,15.568832
4,15.6305065
4,15.630624
4,15.6239395
4,15.728872
4,15.728757
4,15.717809
4,15.761581
4,15.748333
4,15.713599
4,15.667555
4,15.5724535
4,15.668155
4,15.71541
4,15.8689995
4,15.667677
4,15.74357
4,15.555932
4,15.626638
4,15.563521
4,15.892166
4,15.780753
4,15.685969
4,15.825201
4,15.701878
4,15.883035
4,15.829824
4,15.776763
4,15.779836
4,15.687815
4,15.639574
4,15.684081
4,15.689505
4,15.7336445
4,15.819133
4,15.828433
4,15.691899
4,15.719742
4,15.761484
4,15.700716
4,15.729115
4,15.73499
4,15.643526
5,12.452638
5,13.156723
5,12.432678
5,13.044611
5,12.627645
5,12.947924
5,12.972971
5,13.090096
5,13.042885
5,12.799107
5,12.745431
5,12.550453
5,12.638581
5,12.5829315
5,12.638065
5,12.38866
5,12.51536
5,12.623165
5,12.346366
5,12.32343
5,12.058849
5,11.629768
5,11.621441
5,11.568015
5,11.590023
5,12.183793
5,12.198124
5,11.525163
5,11.404434
5,11.467798
5,11.751298
5,11.812904
5,12.161247
5,12.103822
5,12.44481
5,12.388588
5,12.41406
5,12.187217
5,11.961499
5,11.977087
5,11.973366
5,12.096859
5,11.979291
5,11.945103
5,11.938785
5,12.045891
5,12.293522
5,12.255701
5,12.273327
5,12.347149
5,12.317506
5,12.41807
6,15.114933
6,15.15118
6,15.073823
6,15.250823
6,15.208764
6,15.129909
6,15.113075
6,15.281032
6,15.311786
6,15.356697
6,15.324195
6,15.628514
6,15.716005
6,15.719016
6,15.609533
6,15.577356
6,15.585169
6,15.734551
6,15.549804
6,15.347185
6,15.454659
6,15.117662
6,15.272965
6,15.253353
6,15.414954
6,15.498618
6,15.5961275
6,15.586483
6,15.990218
6,15.576631
6,15.500861
6,15.478285
6,15.489685
6,15.368876
6,15.329732
6,15.3027725
6,15.41647
6,15.5717125
6,15.618085
6,15.762464
6,15.411455
6,15.193552
6,15.331701
6,15.428805
6,15.522652
6,15.40572
6,15.616562
6,15.586606
6,15.794092
6,15.661101
6,15.506239
6,15.554235
7,17.076973
7,17.16238
7,17.054665
7,16.987228
7,17.00188
7,17.03082
7,17.29696
7,17.572866
7,17.35434
7,17.019522
7,16.976955
7,17.229069
7,17.260666
7,17.260048
7,17.050306
7,17.21686
7,17.34159
7,17.35786
7,17.493029
7,17.280796
7,17.131714
7,17.014503
7,17.466864
7,17.488733
7,17.305593
7,17.341255
7,17.309387
7,17.747
7,17.57321
7,17.753935
7,17.846869
7,18.10551
7,17.661186
7,17.806812
7,17.639866
7,17.335165
7,17.240479
7,17.281712
7,17.241411
7,16.989721
7,17.018244
7,17.128382
7,17.188217
7,17.301067
7,17.209282
7,17.272228
7,17.050453
7,17.300745
7,17.31475
7,17.00247
7,17.181263
7,17.063381
8,14.972193
8,15.214643
8,15.163122
8,15.120899
8,15.1189
8,15.384631
8,15.343164
8,15.541811
8,15.099106
8,15.189664
8,15.282439
8,15.132742
8,15.421205
8,15.17715
8,15.358619
8,15.283779
8,15.490471
8,15.567338
8,15.511642
8,15.719921
8,15.483168
8,15.654698
8,15.24965
8,15.437602
8,15.397895
8,15.278236
8,15.377527
8,15.647793
8,15.309093
8,15.354954
8,15.368528
8,15.531836
8,15.732244
8,15.76229
8,15.690036
8,15.700622
8,15.97123
8,16.076786
8,15.877126
8,15.632389
8,15.641344
8,15.595134
8,15.666054
8,15.442574
8,15.420751
8,15.58351
8,15.581604
8,15.827686
8,15.724721
8,15.591048
8,15.672609
8,15.687634
9,16.747807
9,17.060997
9,16.666067
9,16.487738
9,16.475933
9,16.650066
9,16.65515
9,16.430885
9,16.444044
9,16.587677
9,16.856749
9,17.046389
9,16.628962
9,16.54573
9,16.75471
9,16.824108
9,16.858488
9,16.699808
9,16.584967
9,16.498898
9,16.736595
9,16.625399
9,16.684774
9,16.806091
9,16.811121
9,16.889545
9,16.854223
9,16.706041
9,16.94308
9,16.58188
9,16.432781
9,16.835161
9,16.784548
9,16.681362
9,16.453522
9,16.384377
9,16.419067
9,16.34963
9,16.20496
9,16.664854
9,16.565754
9,16.554934
9,17.096
9,16.7895
9,16.718021
9,16.658022
9,16.67114
9,16.877048
9,16.859695
9,16.6052
9,16.533144
9,16.7321
10,15.179848
10,15.290941
10,15.640872
10,15.450236
10,15.439709
10,15.311385
10,15.045824
10,15.154309
10,15.315929
10,15.567212
10,15.364229
10,15.222678
10,15.158287
10,15.254406
10,15.53749
10,15.813828
10,15.92915
10,15.686231
10,15.597126
10,15.327799
10,15.260605
10,15.453129
10,15.843003
10,15.928639
10,15.938064
10,16.02429
10,15.917158
10,16.172188
10,16.29084
10,16.762081
10,16.56027
10,16.012354
10,16.602154
10,16.671785
10,16.855387
10,16.78094
10,16.586622
10,16.70454
10,16.767895
10,17.05264
10,16.940348
10,17.025314
10,17.094772
10,16.673393
10,16.794422
10,16.757769
10,16.55794
10,16.70019
10,16.903698
10,16.95025
10,16.902937
10,16.626122
11,11.67862
11,11.798616
11,11.422694
11,11.412133
11,11.239191
11,11.323866
11,11.21855
11,11.36488
11,11.52777
11,11.374623
11,11.449289
11,11.4643345
11,11.198101
11,11.281823
11,11.439062
11,11.41906
11,12.152255
11,11.871922
11,11.951157
11,12.016382
11,12.093009
11,11.871991
11,11.7222395
11,11.564836
11,11.785349
11,12.013863
11,11.628258
11,11.58157
11,11.5873
11,11.599932
11,11.571805
11,11.542984
11,11.602855
11,11.587165
11,11.397364
11,11.800301
11,11.6165905
11,11.579967
11,11.617514
11,11.539867
11,11.396243
11,11.733315
11,11.511418
11,11.658689
11,11.528639
11,11.869449
11,11.893359
11,12.155143
11,12.061823
11,11.840298
11,12.061375
11,12.253547
12,15.619465
12,15.365174
12,15.325232
12,15.301277
12,15.39843
12,15.500914
12,15.50544
12,15.378659
12,15.456633
12,15.525383
12,15.50433
12,15.418319
12,15.416149
12,15.319741
12,15.367949
12,15.429317
12,15.595641
12,15.487565
12,15.428131
12,15.6967945
12,15.634218
12,15.512993
12,15.62814
12,15.654151
12,15.609882
12,15.756054
12,15.785709
12,16.009548
12,15.715866
12,15.885508
12,16.002
12,15.941824
12,15.778919
12,15.900322
12,15.840634
12,15.931376
12,16.145372
12,15.916901
12,15.839014
12,16.058048
12,16.044252
12,15.971218
12,15.996366
12,15.929945
12,16.08647
12,16.13309
12,16.070593
12,15.961262
12,16.01884
12,16.112827
12,16.222643
12,16.039948
13,16.794918
13,16.716705
13,16.824778
13,16.743128
13,16.428896
13,16.520458
13,16.625711
13,16.656431
13,16.977814
13,16.738388
13,16.841763
13,16.46692
13,17.48182
13,18.004637
13,17.787828
13,17.619493
13,16.807362
13,16.484695
13,16.612799
13,16.63436
13,16.281818
13,16.591492
13,16.572447
13,16.414839
13,16.491278
13,16.209236
13,16.381193
13,16.542013
13,16.50258
13,16.343393
13,16.295288
13,16.344423
13,16.235563
13,16.321959
13,16.046005
13,16.37371
13,16.282383
13,16.26776
13,16.429972
13,16.308582
13,16.290243
13,16.305098
13,16.367931
13,16.397406
13,16.587889
13,16.566877
13,16.256403
13,16.241062
13,16.375326
13,16.477703
13,16.401554
13,16.391474
14,16.071491
14,15.762755
14,15.734766
14,15.789952
14,15.796618
14,15.937422
14,15.754165
14,15.749389
14,15.577517
14,15.61937
14,15.628702
14,15.590387
14,15.627684
14,15.643303
14,15.760172
14,15.952195
14,16.067354
14,15.92516
14,15.860002
14,15.731885
14,15.717346
14,15.528086
14,15.4817915
14,15.546386
14,15.495345
14,15.650847
14,15.579885
14,15.66256
14,15.534415
14,15.78104
14,15.832868
14,15.872581
14,15.768251
14,15.861423
14,15.978976
14,15.793409
14,15.90372
14,15.819885
14,15.893016
14,16.069208
14,15.826156
14,15.796651
14,15.818103
14,15.718293
14,15.6942835
14,15.697046
14,15.785551
14,15.810529
14,15.808389
14,15.815547
14,15.922357
14,16.056534
15,15.603404
15,15.566372
15,15.507481
15,15.475405
15,15.658121
15,15.954925
15,15.547308
15,15.676115
15,15.670893
15,15.635734
15,15.589605
15,15.621812
15,15.745774
15,15.707084
15,15.844448
15,16.021942
